ID,Date,Time,Comment Level,Username,Opinion,Sentiment,topic_comment,Topic_article,comment
60ebaf08-9ef0-4bcd-90d7-2ee9e2d10158,2021-07-07,17:01,0,Coraggioso-Ir6WKaaMR,positive,negative,maßnahmen,XXX,"Erstmals seit Januar über 30.000 Neuinfektionen in Großbritannien  Uiuiui - und das mitten im Hochsommer, bei warmen Temperaturen und viel UV-Strahlung. Da werden jetzt einige der ""Corona ist ein saisonales Virus"" Fans aber Kopfschmerzen bekommen und neue Ausreden gegen Corona-Maßnahmen im Sommer finden müssen ..."
2fbfe25d-a788-409a-844d-fb7bd80bcf44,2021-01-09,13:26,0,Coraggioso-Ir6WKaaMR,positive,negative,impfung,lockdown,"Merkel: ""Ein Virus, das uns alle trifft, lässt sich von keinem Land allein besiegen.""  Das ist schlicht falsch. Sind alle Bürger in einem Land geimpft, sind eben auch alle Bürger genau dieses Landes sicher vor dem Virus. Die geimpften Bürger können sich nicht mehr anstecken, weder von Touristen die ins Land kommen noch als Touristen bei Auslandsreisen! Wenn dem nicht so wäre könnte man sich die Impfungen sparen. "
43fa62e5-7be1-41e0-9b0c-29ff5c9c6716,2021-03-16,11:39,0,Coraggioso-Ir6WKaaMR,negative,negative,politik,überblick,"Von der Leyen: Biontech liefert zehn Millionen Dosen früher an die EU  W0W - ein ""Riesenerfolg"" für von der Leyen. Biontech liefert zehn Millionen Dosen früher an die EU. Nein nicht zehn Millionen Dosen mehr, sondern nur ein paar Wochen früher. Dazu, das AZ 120 Millionen Dosen weniger (nur 100 statt 220 Millionen in 2021) liefert schweigt von der Leyen lieber. Würde sie darüber reden müssen, müsste ihr ihr ewiges Grinsen ja vergehen."
5773ad27-d166-452f-85af-7b897c9379a5,2021-04-14,09:06,0,Coraggioso-Ir6WKaaMR,neutral,neutral,maßnahmen,überblick,"Die mit der geplanten Bundes-Notbremse verbundenen Ausgehverbote zwischen 21 und 5.00 Uhr seien aus fachlicher Sicht kontraproduktiv, sagte der Ex-Präsident der internationalen Gesellschaft für Aerosolforschung  Das ist richtig und falsch zugleich. Es ist richtig bezogen auf alle vernuftgeleiteten Menschen und leider falsch bezogen auf alle diejenigen die sich Nachts in Stadtparks etc. Treffen um dort Party zu machen und mit Blick auf die jetzt wieder beginnende warme Jahreszeit wird das leider wieder zunehmen. So viel Polizei, um diese meist hormongesteuerten jungen Leute an diesen Treffen zu hindern können die meisten Städte nicht vorhalten. Daher die Ausgangssperren, denn wer nicht hinaus darf kann sich auch in keinem Park treffen!"
1b891cda-4443-4c10-a5b5-1ab4de1124cc,2021-05-28,07:49,0,Coraggioso-Ir6WKaaMR,negative,neutral,impfung,überblick,"Rund die Hälfte der Familien in Deutschland will ihre Kinder voraussichtlich gegen das Coronavirus impfen lassen, sobald dies möglich ist  Die Stiko ist wegen einer Impf-Empfehlung für Kinder nicht grundlos zurückhaltend. Ich er innere an die Schweinegrippe. Vielerorts wurde dagegen der Impfstoff Pandemrix eingesetzt. Im Nachhinein erkrankten viele Kinder an Narkolepsie, weil man seinerzeit übereilt das Vakzin für Kinder freigab."
d3b9a7a1-9235-4bdf-b07b-98dbf3a76fae,2021-04-13,08:44,0,Coraggioso-Ir6WKaaMR,negative,negative,lockerung,überblick,"Angesichts der steigenden Coronazahlen erwartet die Intensivmediziner-Vereinigung Divi, dass der bisherige Höchststand an Intensivpatienten schneller erreicht wird als erwartet – nämlich noch im April.  Der Dank dafür geht an die Regierenden im Bund und in den 16 Landesfürstentümern. Warum: fürs wochenlange nichts tun bzw. wenn etwas getan wurde, dann das Falsche, nämlich verfrühte Lockerungen!"
3772e6dd-454f-483b-9f7e-2a68e7bff2d1,2021-03-14,08:02,0,Coraggioso-Ir6WKaaMR,negative,negative,usa,überblick,"Angesichts der angekündigten geringeren Liefermengen von AstraZeneca will EVP-Fraktionschef Manfred Weber Konsequenzen ziehen und den in der EU produzierten Impfstoff nicht exportieren.  Oh in der EU wacht man endlich auf. Man merkt das z.B. in den USA 30 Millionen Dosen AZ (produziert bei AZ in Ohio) ungenutzt herumliegen, da AZ in den USA gar nicht zugelassen ist. Aber Biden hortet die, will erst einmal alle Amis impfen, bevor er was abgibt.   Zur gleichen Zeit produziert J&J in der EU das vergleichbare (AZ und J&J sind Verktorvakzine) und sowohl in Europa wie den USA zugelassene Vakzin. Natürlich wird es in die USA geliefert, dort dann bei Merck (USA) abgefüllt. Von dort darf es aber wegen Biden's Exportverbot dann nicht zurück in die EU.  Der DeaI ist doch mehr als offensichtlich: kein AZ aus US-Produktion für die EU = kein J&J aus EU-Produktion für die USA! Erst wenn die USA die EU beliefern sollte die EU wieder die USA beliefern! So macht man DeaIs auf Augenhöhe!"
006f2652-d8e2-41c2-8f91-0ede996402a3,2021-07-14,06:48,0,Coraggioso-Ir6WKaaMR,negative,neutral,tests,überblick,"Mindestens Tausend von Zwanzigtausend Besuchern eines Fest!vaIs in NL steckten sich mit Corona an und das obgleich nur geimpfte, genesene und Getestete zutritt hatten. Daran erkennt man, dass die @ntigentests nicht zuverlässig sind und man daher den Zugang zu derartigen Veranstaltungen nur noch geimpften erlauben sollte. Positiver Nebeneffekt wäre zudem, dass die Impfbereitschaft unter der Zielgruppe solcher Veranstaltungen sprunghaft ansteigen würde!"
82bf1e89-6510-4339-947c-97b47e12bd92,2021-01-18,08:32,0,Coraggioso-Ir6WKaaMR,positive,neutral,impfung,lockdown,"Sechs von sieben vom SPIEGEL befragten Wirtschaftsforscher sprechen sich dagegen aus, weite Teile der Industrie lahmzulegen.   Dann soll die Industrie, namentlich die chemische und pharmazeutische Industrie eben umgehend in die (Lizens)Produktion des zugelassenen Vakzins der Firma Biontech einsteigen. Jetzt so schnell wie möglich die Produktion dieses Vakzins zu steigern, egal um welchen Preis ist volkswirtschaftlich allemal günstiger ein ein Shutdown nahezu aller Industrieproduktion. Wir in der BRD haben alles im Land was man dazu benötigen würde, vor allem die Maschinen- und Anlagenbauer die nötig sind schnell Produktionsanlagen hochzuziehen! "
f7e14afa-78a7-4d66-810f-6abae5632046,2021-06-18,08:34,0,Coraggioso-Ir6WKaaMR,positive,negative,impfung,überblick,Bei den Corona-Impfungen haben nach Angaben des franz. Gesundheitsministers bereits 60% der Franzosen (m/w/d) mindestens eine Injektion bekommen. In der BRD nur 50%!  So sad - nicht wahr Herr Spahn!?
